metric,country,year,value
Imports,Taiwan,2024/25,2768.0
Imports,Vietnam,2024/25,2500.0
Imports,Other,2024/25,22431.0
Imports,Total,2024/25,179139.0
Exports,Brazil,2024/25,103143.0
Exports,United States,2024/25,51029.0
Exports,Argentina,2024/25,7868.0
Exports,Paraguay,2024/25,6800.0
Exports,Canada,2024/25,5448.0
Exports,Other,2024/25,10728.0
Exports,Total,2024/25,185016.0
Crush,China,2024/25,103500.0
Crush,United States,2024/25,66542.0
Crush,Brazil,2024/25,58000.0
Crush,Argentina,2024/25,43209.0
Crush,European Union,2024/25,15400.0
Crush,India,2024/25,11000.0
Crush,Mexico,2024/25,6650.0
Crush,Russia,2024/25,6225.0
Crush,Egypt,2024/25,4350.0
Crush,Bolivia,2024/25,3100.0
Crush,Paraguay,2024/25,3100.0
Crush,Iran,2024/25,2850.0
Crush,Thailand,2024/25,2700.0
Crush,Ukraine,2024/25,2800.0
Crush,Turkey,2024/25,2850.0
Crush,Other,2024/25,25515.0
Crush,Total,2024/25,357791.0
Ending Stocks,China,2024/25,44488.0
Ending Stocks,Brazil,2024/25,36811.0
Ending Stocks,Argentina,2024/25,23102.0
Ending Stocks,United States,2024/25,8614.0
Ending Stocks,European Union,2024/25,1543.0
Ending Stocks,Other,2024/25,8781.0
Ending Stocks,Total,2024/25,123339.0
Production,Brazil,Sep 2025/26,175000.0
Production,United States,Sep 2025/26,117045.0
Production,Argentina,Sep 2025/26,48500.0
Production,China,Sep 2025/26,21000.0
Production,Paraguay,Sep 2025/26,11000.0
Production,India,Sep 2025/26,11600.0
Production,Russia,Sep 2025/26,8300.0
Production,Other,Sep 2025/26,33422.0
Production,Total,Sep 2025/26,425867.0
Imports,China,Sep 2025/26,112000.0
Imports,European Union,Sep 2025/26,14300.0
Imports,Argentina,Sep 2025/26,7200.0
Imports,Mexico,Sep 2025/26,6700.0
Imports,Egypt,Sep 2025/26,4700.0
Imports,Thailand,Sep 2025/26,4400.0
Imports,Turkey,Sep 2025/26,3850.0
Imports,Japan,Sep 2025/26,3300.0
Imports,Taiwan,Sep 2025/26,2950.0
Imports,Vietnam,Sep 2025/26,2800.0
Imports,Other,Sep 2025/26,24014.0
Imports,Total,Sep 2025/26,186214.0
Exports,Brazil,Sep 2025/26,112000.0
Exports,United States,Sep 2025/26,45858.0
Exports,Argentina,Sep 2025/26,6000.0
Exports,Paraguay,Sep 2025/26,7700.0
Exports,Canada,Sep 2025/26,5100.0
Exports,Other,Sep 2025/26,11124.0
Exports,Total,Sep 2025/26,187782.0
Crush,China,Sep 2025/26,108000.0
Crush,United States,Sep 2025/26,69536.0
Crush,Brazil,Sep 2025/26,58000.0
Crush,Argentina,Sep 2025/26,42400.0
Crush,European Union,Sep 2025/26,15300.0
Crush,India,Sep 2025/26,10250.0
Crush,Mexico,Sep 2025/26,6800.0
Crush,Russia,Sep 2025/26,6300.0
Crush,Egypt,Sep 2025/26,4700.0
Crush,Bolivia,Sep 2025/26,3100.0
Crush,Paraguay,Sep 2025/26,3100.0
Crush,Iran,Sep 2025/26,3000.0
Crush,Thailand,Sep 2025/26,3200.0
Crush,Ukraine,Sep 2025/26,2900.0
Crush,Turkey,Sep 2025/26,2500.0
Crush,Other,Sep 2025/26,27543.0
Crush,Total,Sep 2025/26,366629.0
Ending Stocks,China,Sep 2025/26,43380.0
Ending Stocks,Brazil,Sep 2025/26,37261.0
Ending Stocks,Argentina,Sep 2025/26,23847.0
Ending Stocks,United States,Sep 2025/26,8168.0
Ending Stocks,European Union,Sep 2025/26,1830.0
Ending Stocks,Other,Sep 2025/26,9505.0
Ending Stocks,Total,Sep 2025/26,123991.0
Production,Brazil,Nov 2025/26,175000.0
Production,United States,Nov 2025/26,115751.0
Production,Argentina,Nov 2025/26,48500.0
Production,China,Nov 2025/26,21000.0
Production,Paraguay,Nov 2025/26,11000.0
Production,India,Nov 2025/26,10000.0
Production,Russia,Nov 2025/26,8300.0
Production,Other,Nov 2025/26,32197.0
Production,Total,Nov 2025/26,421748.0
Imports,China,Nov 2025/26,112000.0
Imports,European Union,Nov 2025/26,14300.0
Imports,Argentina,Nov 2025/26,7700.0
Imports,Mexico,Nov 2025/26,6700.0
Imports,Egypt,Nov 2025/26,4700.0
Imports,Thailand,Nov 2025/26,4200.0
Imports,Turkey,Nov 2025/26,4000.0
Imports,Japan,Nov 2025/26,3300.0
Imports,Taiwan,Nov 2025/26,2950.0
Imports,Vietnam,Nov 2025/26,2800.0
Imports,Other,Nov 2025/26,23764.0
Imports,Total,Nov 2025/26,186414.0
Exports,Brazil,Nov 2025/26,112500.0
